path,hazard,gcm,rp,epoch
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_5000_YR_RP.tif,cyclone,EC-Earth3P-HR,5000,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_60_YR_RP.tif,cyclone,EC-Earth3P-HR,60,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_600_YR_RP.tif,cyclone,EC-Earth3P-HR,600,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_6000_YR_RP.tif,cyclone,EC-Earth3P-HR,6000,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_70_YR_RP.tif,cyclone,EC-Earth3P-HR,70,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_700_YR_RP.tif,cyclone,EC-Earth3P-HR,700,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_7000_YR_RP.tif,cyclone,EC-Earth3P-HR,7000,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_80_YR_RP.tif,cyclone,EC-Earth3P-HR,80,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_800_YR_RP.tif,cyclone,EC-Earth3P-HR,800,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_8000_YR_RP.tif,cyclone,EC-Earth3P-HR,8000,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_90_YR_RP.tif,cyclone,EC-Earth3P-HR,90,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_900_YR_RP.tif,cyclone,EC-Earth3P-HR,900,2050
storm/STORM_FIXED_RETURN_PERIODS_EC-Earth3P-HR_9000_YR_RP.tif,cyclone,EC-Earth3P-HR,9000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_10_YR_RP.tif,cyclone,HadGEM3-GC31-HM,10,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_100_YR_RP.tif,cyclone,HadGEM3-GC31-HM,100,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_1000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,1000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_10000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,10000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_20_YR_RP.tif,cyclone,HadGEM3-GC31-HM,20,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_200_YR_RP.tif,cyclone,HadGEM3-GC31-HM,200,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_2000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,2000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_30_YR_RP.tif,cyclone,HadGEM3-GC31-HM,30,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_300_YR_RP.tif,cyclone,HadGEM3-GC31-HM,300,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_3000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,3000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_40_YR_RP.tif,cyclone,HadGEM3-GC31-HM,40,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_400_YR_RP.tif,cyclone,HadGEM3-GC31-HM,400,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_4000_YR_RP.tif,cyclone,HadGEM3-GC31-HM,4000,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_50_YR_RP.tif,cyclone,HadGEM3-GC31-HM,50,2050
storm/STORM_FIXED_RETURN_PERIODS_HadGEM3-GC31-HM_500_YR_RP.tif,cyclone,HadGEM3-GC31-HM,500,2050
